0x2619c649d98DDdDBB0B218823354FE1D41bF5Ce0,0x2619c649d98DDdDBB0B218823354FE1D41bF5Ce0,0,0,0x519F9662798c2E07fbd5B30C1445602320C5cF5B,13139837,1,
0x2619c649d98DDdDBB0B218823354FE1D41bF5Ce0,0x2619c649d98DDdDBB0B218823354FE1D41bF5Ce0,1,1,0x519F9662798c2E07fbd5B30C1445602320C5cF5B,13139837,1,
0x2619c649d98DDdDBB0B218823354FE1D41bF5Ce0,0x2619c649d98DDdDBB0B218823354FE1D41bF5Ce0,2,2,0x519F9662798c2E07fbd5B30C1445602320C5cF5B,13373019,1,
0xf503017D7baF7FBC0fff7492b751025c6A78179b,0xf503017D7baF7FBC0fff7492b751025c6A78179b,2,2,0x519F9662798c2E07fbd5B30C1445602320C5cF5B,13378500,1,
0xC82a6220398714f74e2D929309F4c5B1D4f7b0f6,0xC82a6220398714f74e2D929309F4c5B1D4f7b0f6,2,2,0x519F9662798c2E07fbd5B30C1445602320C5cF5B,13412329,1,
0x2619c649d98DDdDBB0B218823354FE1D41bF5Ce0,0x2619c649d98DDdDBB0B218823354FE1D41bF5Ce0,3,3,0x519F9662798c2E07fbd5B30C1445602320C5cF5B,13753505,1,
0x965FDb32E3fcdc6dC323464A42a9615E6A5464D1,0x965FDb32E3fcdc6dC323464A42a9615E6A5464D1,5,4,0x519F9662798c2E07fbd5B30C1445602320C5cF5B,13754179,1,
0x965FDb32E3fcdc6dC323464A42a9615E6A5464D1,0x965FDb32E3fcdc6dC323464A42a9615E6A5464D1,3,3,0x519F9662798c2E07fbd5B30C1445602320C5cF5B,13754184,2,
0xd26a3F686D43f2A62BA9eaE2ff77e9f516d945B9,0xd26a3F686D43f2A62BA9eaE2ff77e9f516d945B9,3,3,0x519F9662798c2E07fbd5B30C1445602320C5cF5B,13754214,1,
0x865c2F85C9fEa1C6Ac7F53de07554D68cB92eD88,0x865c2F85C9fEa1C6Ac7F53de07554D68cB92eD88,3,3,0x519F9662798c2E07fbd5B30C1445602320C5cF5B,13754261,1,
0x245Bd45fFd22a0e8Da538a3B2FbFDd3a575bc619,0x245Bd45fFd22a0e8Da538a3B2FbFDd3a575bc619,3,3,0x519F9662798c2E07fbd5B30C1445602320C5cF5B,13754543,1,
0x245Bd45fFd22a0e8Da538a3B2FbFDd3a575bc619,0x245Bd45fFd22a0e8Da538a3B2FbFDd3a575bc619,5,4,0x519F9662798c2E07fbd5B30C1445602320C5cF5B,13754561,1,
0x89E12F054526B985188b946063dDc874a62fEd45,0x89E12F054526B985188b946063dDc874a62fEd45,3,3,0x519F9662798c2E07fbd5B30C1445602320C5cF5B,13754613,1,
0x02Cb3C150BEdca124d0aE8CcCb72fefbe705c953,0x02Cb3C150BEdca124d0aE8CcCb72fefbe705c953,5,4,0x519F9662798c2E07fbd5B30C1445602320C5cF5B,13757539,1,
0x965FDb32E3fcdc6dC323464A42a9615E6A5464D1,0x965FDb32E3fcdc6dC323464A42a9615E6A5464D1,4,5,0x519F9662798c2E07fbd5B30C1445602320C5cF5B,13760230,1,
0x5bb3e1774923b75Ecb804E2559149BbD2a39A414,0x5bb3e1774923b75Ecb804E2559149BbD2a39A414,3,3,0x519F9662798c2E07fbd5B30C1445602320C5cF5B,13794939,1,
0x2619c649d98DDdDBB0B218823354FE1D41bF5Ce0,0x2619c649d98DDdDBB0B218823354FE1D41bF5Ce0,6,6,0x519F9662798c2E07fbd5B30C1445602320C5cF5B,13804123,1,
0xf503017D7baF7FBC0fff7492b751025c6A78179b,0xf503017D7baF7FBC0fff7492b751025c6A78179b,6,6,0x519F9662798c2E07fbd5B30C1445602320C5cF5B,13805833,1,
0x965FDb32E3fcdc6dC323464A42a9615E6A5464D1,0x965FDb32E3fcdc6dC323464A42a9615E6A5464D1,6,6,0x519F9662798c2E07fbd5B30C1445602320C5cF5B,13805948,1,
0x245Bd45fFd22a0e8Da538a3B2FbFDd3a575bc619,0x245Bd45fFd22a0e8Da538a3B2FbFDd3a575bc619,7,7,0x519F9662798c2E07fbd5B30C1445602320C5cF5B,14366997,1,
0xf503017D7baF7FBC0fff7492b751025c6A78179b,0xf503017D7baF7FBC0fff7492b751025c6A78179b,7,7,0x519F9662798c2E07fbd5B30C1445602320C5cF5B,14392155,1,
0x965FDb32E3fcdc6dC323464A42a9615E6A5464D1,0x965FDb32E3fcdc6dC323464A42a9615E6A5464D1,7,7,0x519F9662798c2E07fbd5B30C1445602320C5cF5B,14393387,1,
0x66b1De0f14a0ce971F7f248415063D44CAF19398,0x66b1De0f14a0ce971F7f248415063D44CAF19398,9,8,0x519F9662798c2E07fbd5B30C1445602320C5cF5B,14702754,1,
0x2619c649d98DDdDBB0B218823354FE1D41bF5Ce0,0x2619c649d98DDdDBB0B218823354FE1D41bF5Ce0,9,8,0x519F9662798c2E07fbd5B30C1445602320C5cF5B,14729911,1,
0x66b1De0f14a0ce971F7f248415063D44CAF19398,0x66b1De0f14a0ce971F7f248415063D44CAF19398,16,9,0x519F9662798c2E07fbd5B30C1445602320C5cF5B,14730580,1,
0xeBAC3108C58Bd4dD48a8110B7750480Cea7bC3Fb,0xeBAC3108C58Bd4dD48a8110B7750480Cea7bC3Fb,15,10,0x519F9662798c2E07fbd5B30C1445602320C5cF5B,14731342,1,
0xeBAC3108C58Bd4dD48a8110B7750480Cea7bC3Fb,0xeBAC3108C58Bd4dD48a8110B7750480Cea7bC3Fb,14,11,0x519F9662798c2E07fbd5B30C1445602320C5cF5B,14731347,1,
