memberAddress,DelegateKey,proposalId,proposalIndex,address,blockNumber,vote
0xa98bb5ceDC8ad73583F0783E48A8522d55c666E3,0x5A9e792143bf2708b4765C144451dCa54f559a19,undefined,25,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7464929,1,
0xa98bb5ceDC8ad73583F0783E48A8522d55c666E3,0x5A9e792143bf2708b4765C144451dCa54f559a19,undefined,24,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7464929,1,
0x7f4C4B0f51C17E72248B2bCeF176e7649c187e7B,0x5Ca6A0e71F23CecD80b63D5389e78B4f4345B429,undefined,24,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7465051,1,
0x7f4C4B0f51C17E72248B2bCeF176e7649c187e7B,0x5Ca6A0e71F23CecD80b63D5389e78B4f4345B429,undefined,25,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7465055,1,
0xF754eEE52ae08568201c56f51BA985638edaE1c4,0x2729Bf96ee15667fE409A32C11433b23B8e93870,undefined,24,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7465222,2,
0x7B3E509C78FAee4c589d3d07EA0C8929Aa2835e3,0x7B3E509C78FAee4c589d3d07EA0C8929Aa2835e3,undefined,24,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7465338,1,
0x7B3E509C78FAee4c589d3d07EA0C8929Aa2835e3,0x7B3E509C78FAee4c589d3d07EA0C8929Aa2835e3,undefined,25,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7465344,1,
0xcd16CBdA54af2556EBB6df4FBFd178e63c33FD89,0x72BA1965320ab5352FD6D68235Cc3C5306a6FFA2,undefined,24,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7467698,2,
0xcd16CBdA54af2556EBB6df4FBFd178e63c33FD89,0x72BA1965320ab5352FD6D68235Cc3C5306a6FFA2,undefined,25,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7474324,2,
0x2525f1a08a2d5f037DDa969f2Fa1B56E4b4B47f3,0x2525f1a08a2d5f037DDa969f2Fa1B56E4b4B47f3,undefined,24,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7477681,1,
0x2525f1a08a2d5f037DDa969f2Fa1B56E4b4B47f3,0x2525f1a08a2d5f037DDa969f2Fa1B56E4b4B47f3,undefined,25,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7477922,2,
0xABbd0c374F54EdC4392C9Ff45DB9B65E91Bc2678,0x005bEE87D3489b0ab57692dCC1e5BF58D3A494E6,undefined,25,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7478325,2,
0xABbd0c374F54EdC4392C9Ff45DB9B65E91Bc2678,0x005bEE87D3489b0ab57692dCC1e5BF58D3A494E6,undefined,24,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7478329,1,
0xecd11858a4bcc35A51084Ebe672beaCe01142fcA,0xecd11858a4bcc35A51084Ebe672beaCe01142fcA,undefined,24,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7489449,1,
0xecd11858a4bcc35A51084Ebe672beaCe01142fcA,0xecd11858a4bcc35A51084Ebe672beaCe01142fcA,undefined,25,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7490213,1,
0x89E12F054526B985188b946063dDc874a62fEd45,0x89E12F054526B985188b946063dDc874a62fEd45,undefined,24,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7494561,2,
0x89E12F054526B985188b946063dDc874a62fEd45,0x89E12F054526B985188b946063dDc874a62fEd45,undefined,25,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7494563,2,
0xcd16CBdA54af2556EBB6df4FBFd178e63c33FD89,0x72BA1965320ab5352FD6D68235Cc3C5306a6FFA2,undefined,26,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7509443,1,
0xecd11858a4bcc35A51084Ebe672beaCe01142fcA,0xecd11858a4bcc35A51084Ebe672beaCe01142fcA,undefined,26,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7517540,1,
0xcd16CBdA54af2556EBB6df4FBFd178e63c33FD89,0x72BA1965320ab5352FD6D68235Cc3C5306a6FFA2,undefined,27,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7523548,2,
0x89E12F054526B985188b946063dDc874a62fEd45,0x89E12F054526B985188b946063dDc874a62fEd45,undefined,27,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7526816,2,
0x89E12F054526B985188b946063dDc874a62fEd45,0x89E12F054526B985188b946063dDc874a62fEd45,undefined,26,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7526959,1,
0xF754eEE52ae08568201c56f51BA985638edaE1c4,0x2729Bf96ee15667fE409A32C11433b23B8e93870,undefined,27,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7528576,2,
0xABbd0c374F54EdC4392C9Ff45DB9B65E91Bc2678,0x005bEE87D3489b0ab57692dCC1e5BF58D3A494E6,undefined,27,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7530775,1,
0x5bb3e1774923b75Ecb804E2559149BbD2a39A414,0x5bb3e1774923b75Ecb804E2559149BbD2a39A414,undefined,27,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7531797,1,
0x7f4C4B0f51C17E72248B2bCeF176e7649c187e7B,0x5Ca6A0e71F23CecD80b63D5389e78B4f4345B429,undefined,27,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7532709,1,
0x44CAd9AF73c8175009f06fbde856EFBa453a40e0,0x44CAd9AF73c8175009f06fbde856EFBa453a40e0,undefined,27,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7549619,1,
0xe84c0c01D76c169E9C92b6E666B52E4f4B6e5300,0xe84c0c01D76c169E9C92b6E666B52E4f4B6e5300,undefined,27,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7549906,2,
0x1A57F99c4759F4E4E29140B1D7A89584e1c1Ef67,0x1b037167C4b0584Ca5Ef6534648C38F496757FA5,undefined,27,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7550694,1,
0x2625f1c0bc50b2F663BeA454ccb7398FE3E7a9ae,0x2fbfa215e62F0098ddAd5bc466Bc62bBf86381Aa,undefined,27,0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1,7554363,2,
