0x0042dfb8301607df72ec9fdab39759371f827bb0-proposal-0,0x0042dfb8301607df72ec9fdab39759371f827bb0,0x131aaecbff040379070024ea0ae9ab72a059e6c4,1607580204,1,0,1,0,
0x0042dfb8301607df72ec9fdab39759371f827bb0-proposal-1,0x0042dfb8301607df72ec9fdab39759371f827bb0,0x131aaecbff040379070024ea0ae9ab72a059e6c4,1607967774,1,0,1,0,
0x0042dfb8301607df72ec9fdab39759371f827bb0-proposal-2,0x0042dfb8301607df72ec9fdab39759371f827bb0,0x131aaecbff040379070024ea0ae9ab72a059e6c4,1607969007,1,0,1,0,
0x0042dfb8301607df72ec9fdab39759371f827bb0-proposal-3,0x0042dfb8301607df72ec9fdab39759371f827bb0,0x131aaecbff040379070024ea0ae9ab72a059e6c4,1607969007,0,0,0,0,
0x0042dfb8301607df72ec9fdab39759371f827bb0-proposal-4,0x0042dfb8301607df72ec9fdab39759371f827bb0,0x131aaecbff040379070024ea0ae9ab72a059e6c4,1607984765,1,0,1,0,
0x0042dfb8301607df72ec9fdab39759371f827bb0-proposal-5,0x0042dfb8301607df72ec9fdab39759371f827bb0,0x131aaecbff040379070024ea0ae9ab72a059e6c4,1607984765,1,0,1,0,
0x014ded81ddb85f7d178a66bcdd6cd6ca89ba7cc5-proposal-0,0x014ded81ddb85f7d178a66bcdd6cd6ca89ba7cc5,0x88516b29ce9e92c7ac5025fb355ee5a76b8140f2,1578739044,1,0,1,0,
0x014ded81ddb85f7d178a66bcdd6cd6ca89ba7cc5-proposal-1,0x014ded81ddb85f7d178a66bcdd6cd6ca89ba7cc5,0x88516b29ce9e92c7ac5025fb355ee5a76b8140f2,1579192106,1,0,101,0,
0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-0,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,0xbaf6e57a3940898fd21076b139d4ab231dcbbc5f,1584963917,0,0,0,0,
0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-1,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,0xbaf6e57a3940898fd21076b139d4ab231dcbbc5f,1584964372,0,0,0,0,
0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-10,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,0x636a1dda5ae24e1bb6cb472b7f3c98f458fec738,1590042834,2,0,710,0,
0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-11,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,0x4744cda32be7b3e75b9334001da9ed21789d4c0d,1590110251,1,0,700,0,
0x016e79e9101a8eaa3e7f46d6d1c267819c09c939-proposal-12,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,0xbcb77084e79c3742fbc59dfbf18dbbdbb522500b,1590338700,1,0,700,0,
