id,address,shares,isContract
0x6bec3b5738851d84f903e5b34aa2e2722f76564d,0x6bec3b5738851d84f903e5b34aa2e2722f76564d,0,false,
0x6d9aba400a2a487a5fb76c6d56518835553cd284,0x6d9aba400a2a487a5fb76c6d56518835553cd284,100000,false,
0x6ef2376fa6e12dabb3a3ed0fb44e4ff29847af68,0x6ef2376fa6e12dabb3a3ed0fb44e4ff29847af68,100000,false,
0x724c65b77a78ccc258a523ede766924be48ab3f6,0x724c65b77a78ccc258a523ede766924be48ab3f6,1,true,
0x725e7ee0fddebfd1c2ee57096f7e9f841cdd44f9,0x725e7ee0fddebfd1c2ee57096f7e9f841cdd44f9,100000,false,
0x750c31d2290c456fcca1c659b6add80e7a88f881,0x750c31d2290c456fcca1c659b6add80e7a88f881,100000,false,
0x75afaece8cf2a7974b1e541648923afd9339b3f8,0x75afaece8cf2a7974b1e541648923afd9339b3f8,100000,false,
0x7a9a568ba107ae35c31e7fda6b99ceddde1e625b,0x7a9a568ba107ae35c31e7fda6b99ceddde1e625b,100000,false,
0x7b3b6bbf86aafcf4c4863ce694a512f4b620c796,0x7b3b6bbf86aafcf4c4863ce694a512f4b620c796,100000,false,
0x7ea598f29812673975334c1445ae5c9158b66cb8,0x7ea598f29812673975334c1445ae5c9158b66cb8,0,true,
0x7ff9d98cf5f4456e31f1126e994f1fe09684c260,0x7ff9d98cf5f4456e31f1126e994f1fe09684c260,100000,false,
0x82b4171af4f5cf6bc162af6ec8c2bf692f1ef962,0x82b4171af4f5cf6bc162af6ec8c2bf692f1ef962,1,true,
0x830ee29452f01ae4302bdde2ec6411604634e006,0x830ee29452f01ae4302bdde2ec6411604634e006,200000,false,
0x85c7199b5a36e87956cca466233de6710e849d6d,0x85c7199b5a36e87956cca466233de6710e849d6d,0,false,
0x873dfbf899d6f74f6d9d21a05b7d80da792f7692,0x873dfbf899d6f74f6d9d21a05b7d80da792f7692,0,false,
0x891bad61014e35395474a260b58bb6df4fd8991b,0x891bad61014e35395474a260b58bb6df4fd8991b,300000,false,
0x8b3765eda5207fb21690874b722ae276b96260e0,0x8b3765eda5207fb21690874b722ae276b96260e0,0,false,
0x8c991297440a79358bd864902e704ecc815eac81,0x8c991297440a79358bd864902e704ecc815eac81,100000,true,
0x8ec0134f574fb256e23775b019a728f2a0e2b4c3,0x8ec0134f574fb256e23775b019a728f2a0e2b4c3,0,true,
0x9158f36722ca256b86648844c88699968c836bc3,0x9158f36722ca256b86648844c88699968c836bc3,0,false,
0x9600a9156f048b78f6a6622068961dc2188b5462,0x9600a9156f048b78f6a6622068961dc2188b5462,100000,true,
0x98c68c8e48560fc552dc22cc2955a50e4ee51dc4,0x98c68c8e48560fc552dc22cc2955a50e4ee51dc4,0,false,
0x98ea2d8438f70ce876c2db26fc494cfed10b4cd7,0x98ea2d8438f70ce876c2db26fc494cfed10b4cd7,0,true,
0x9a2b676266ef3710e0271a93a1b4b9ef57a8b45f,0x9a2b676266ef3710e0271a93a1b4b9ef57a8b45f,0,false,
0x9b17d8020abd4077e0be12e5faa6e936ac53008d,0x9b17d8020abd4077e0be12e5faa6e936ac53008d,100000,false,
0xa0f75491720835b36edc92d06ddc468d201e9b73,0xa0f75491720835b36edc92d06ddc468d201e9b73,100000,false,
0xa23754e9f9c5be3fe68336c7e2f81ced34539819,0xa23754e9f9c5be3fe68336c7e2f81ced34539819,0,false,
0xa2e3bdae9569c89b13cd4407a87fd063253b84f8,0xa2e3bdae9569c89b13cd4407a87fd063253b84f8,700000,false,
0xa5a35f3ba4f0e4c74669e17491c6681a7108dd33,0xa5a35f3ba4f0e4c74669e17491c6681a7108dd33,100000,false,
0xa83c572c8072f3b11562f08b89d4f3077682acdb,0xa83c572c8072f3b11562f08b89d4f3077682acdb,100000,false,
0xae92ef09313a6229b51e90507b9ef40ec35101a2,0xae92ef09313a6229b51e90507b9ef40ec35101a2,100000,false,
0xaedcc0c4e765ad686212ce62694c463f38258cd3,0xaedcc0c4e765ad686212ce62694c463f38258cd3,100000,false,
0xb89df9952995b8b53fbd284c114e7862aa8b8d86,0xb89df9952995b8b53fbd284c114e7862aa8b8d86,0,false,
