0,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,11512328,63,1,414202518611435288338854,100200001402134398906,16000000000000000000000000,64,
1,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,11549719,30,0,388238704051419380224505,0,16000000000000000000000000,30,
10,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,12278655,17,0,425444953215312279931036,0,16000000000000000000000000,17,
11,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,12291067,96,4,739414164125783171535495,1883977047321848891614,16000000000000000000000000,109,
12,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,12368266,47,0,411714128977651123131642,0,16000000000000000000000000,47,
13,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,12369001,63,0,476418936850208614370235,0,16000000000000000000000000,63,
14,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,12375727,60,0,3316393060830851124567331,0,16000000000000000000000000,60,
15,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,12388896,14,0,498376932840640957453712,0,16000000000000000000000000,14,
16,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,12459414,25,1,351560636753059641505440,70609543737798379,16000000000000000000000000,26,
17,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,12635208,55,17,394170288898439527349499,219394650548128665017998,16000000000000000000000000,72,
18,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,12860165,70,7,400453529956719941770207,92161261942352599791574,16000000000000000000000000,77,
19,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,12865443,18,2,497341986594008375492677,10101027092858705631,16000000000000000000000000,20,
2,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,11602333,62,0,579031697636104843521542,0,16000000000000000000000000,62,
20,0xec568fffba86c094cf06b22134b23074dfe2252c,Canceled,12866448,0,0,0,0,16000000000000000000000000,0,
21,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,12869380,35,0,508622723794690538573123,0,16000000000000000000000000,35,
22,0xec568fffba86c094cf06b22134b23074dfe2252c,Active,12946659,57,14,353627884736891294975637,611352901614944459378673,16000000000000000000000000,71,
23,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,12960301,24,0,374539601093411401277280,0,16000000000000000000000000,24,
24,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,12960538,16,0,373144687466368265397671,0,16000000000000000000000000,16,
25,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,12969465,12,23,604157323169407144498748,393282443983564504702524,16000000000000000000000000,35,
26,0xec568fffba86c094cf06b22134b23074dfe2252c,Active,12969749,0,1,0,2861714965855568741896,16000000000000000000000000,1,
27,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,13044092,32,0,421298630855574670728879,0,16000000000000000000000000,32,
28,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,13060987,30,1,686711052724225943506002,2688481304547530510063,16000000000000000000000000,31,
29,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,13101455,12,0,363210013659804385152590,0,16000000000000000000000000,12,
3,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,11753295,56,0,443587004858829718242861,0,16000000000000000000000000,56,
30,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,13130077,10,0,493343056257072894869605,0,16000000000000000000000000,10,
31,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,13174608,19,0,593170498497734504946762,0,16000000000000000000000000,19,
32,0xec568fffba86c094cf06b22134b23074dfe2252c,Canceled,13190641,1,0,472008969030144556739,0,16000000000000000000000000,1,
33,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,13193643,14,1,509409036731897693631401,92259992858705631,16000000000000000000000000,15,
34,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,13203460,12,1,751771050749829602175433,36090852655410915893,16000000000000000000000000,13,
35,0xec568fffba86c094cf06b22134b23074dfe2252c,Canceled,13218931,15,0,866225410842973448565102,0,16000000000000000000000000,15,
36,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,13219514,14,0,497071174801000822558583,0,16000000000000000000000000,14,
37,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,13237918,13,1,538832768843425490478886,510000000000000000,16000000000000000000000000,14,
38,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,13264819,14,0,425211130573786020404447,0,16000000000000000000000000,14,
39,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,13355761,11,0,331466353393649728041808,0,16000000000000000000000000,11,
4,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,11797666,61,1,498757966488314864798274,2519079274439218731452,16000000000000000000000000,62,
40,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,13400020,15,0,561331561374357427516186,0,16000000000000000000000000,15,
41,0xec568fffba86c094cf06b22134b23074dfe2252c,Active,13419950,27,0,1033424589588945585925692,0,16000000000000000000000000,27,
42,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,13444321,13,0,655807589180223226275609,0,16000000000000000000000000,13,
43,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,13489472,11,0,386465390207129434376323,0,16000000000000000000000000,11,
44,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,13508450,21,1,710327482964214946033038,1000000000000000000,16000000000000000000000000,22,
45,0xec568fffba86c094cf06b22134b23074dfe2252c,Queued,13578913,10,0,330756013838570365204481,0,16000000000000000000000000,10,
46,0xec568fffba86c094cf06b22134b23074dfe2252c,Active,13584286,15,5,340578824326974423136365,309403236334749046020273,16000000000000000000000000,20,
47,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,13638437,14,0,599441800668001632799860,0,16000000000000000000000000,14,
48,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,13638500,18,0,703627738196357198594477,0,16000000000000000000000000,18,
49,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,13646015,15,0,713963197173901217201044,0,16000000000000000000000000,15,
5,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,11830511,54,1,424600621144095375593580,0,16000000000000000000000000,55,
50,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,13716108,18,0,468453177345628378582132,0,16000000000000000000000000,18,
51,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,13753639,15,0,624726208971467014973987,0,16000000000000000000000000,15,
52,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,13802186,17,0,553626609519293284041221,0,16000000000000000000000000,17,
53,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,13845810,10,0,394075490205075454182531,0,16000000000000000000000000,10,
54,0xec568fffba86c094cf06b22134b23074dfe2252c,Active,13950435,5,0,114947506000232081199404,0,16000000000000000000000000,5,
55,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,14030921,5,0,441747978683821624581275,0,16000000000000000000000000,5,
56,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,14066624,94,0,369437375496264526611913,0,16000000000000000000000000,94,
57,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,14077932,9,0,407890362534062939137222,0,16000000000000000000000000,9,
58,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,14218532,25,2,423609916195002935710543,64311065724653359412708,16000000000000000000000000,27,
59,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,14223109,21,0,376967255667929077627046,0,16000000000000000000000000,21,
6,0xec568fffba86c094cf06b22134b23074dfe2252c,Canceled,12162477,81,4,395948308929816172389218,795066845122343994197,16000000000000000000000000,85,
60,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,14223399,76,0,335233008247228082089220,0,16000000000000000000000000,76,
61,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,14255778,34,0,508764844486532935853496,0,16000000000000000000000000,34,
62,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,14262018,21,0,572490805621186115466463,0,16000000000000000000000000,21,
63,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,14302079,22,0,396065058335830709086324,0,16000000000000000000000000,22,
64,0xec568fffba86c094cf06b22134b23074dfe2252c,Active,14304125,14,0,261387010420338019498959,0,16000000000000000000000000,14,
65,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,14342867,43,5,487764261594380800689778,153460810571522808630290,16000000000000000000000000,48,
66,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,14351788,75,1,371966545532113864283587,1218281118579415227051,16000000000000000000000000,76,
67,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,14439998,43,0,327009329565782183497841,0,16000000000000000000000000,43,
68,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,14457247,58,0,373675935453836003847473,0,16000000000000000000000000,58,
69,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,14528484,12,0,336464903116762187310816,0,16000000000000000000000000,12,
7,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,12173218,70,4,517090166001240466983324,515486673615733080568,16000000000000000000000000,74,
70,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,14662589,23,0,355410730709791590762451,0,16000000000000000000000000,23,
71,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,14705784,32,0,522933812639447352697770,0,16000000000000000000000000,32,
72,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,14744787,17,0,437628963815436787854310,0,16000000000000000000000000,17,
73,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,14750866,17,0,443140714483209650097539,0,16000000000000000000000000,17,
74,0xec568fffba86c094cf06b22134b23074dfe2252c,Canceled,14751483,11,0,446369808616611328643659,0,16000000000000000000000000,11,
75,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,14777131,39,4,454425167450566229135359,7426981506332526417748,16000000000000000000000000,43,
76,0xec568fffba86c094cf06b22134b23074dfe2252c,Queued,14793371,27,0,387030039078783815518055,0,16000000000000000000000000,27,
77,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,14836163,100,0,352598555681273959610633,0,16000000000000000000000000,159,
78,0xec568fffba86c094cf06b22134b23074dfe2252c,Active,14881782,13,6,286716469419703812108199,238972972923235957048302,16000000000000000000000000,19,
79,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,14891835,30,0,354868263327231918469993,0,16000000000000000000000000,30,
8,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,12252025,52,8,334596999342225416373109,20336903490248239388432,16000000000000000000000000,60,
80,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,14922542,30,2,420706486009032181740137,10000999900000000000000,16000000000000000000000000,32,
81,0xec568fffba86c094cf06b22134b23074dfe2252c,Active,14923384,46,0,253137580136501960101370,0,16000000000000000000000000,46,
82,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,14955661,30,0,604260348057215480017385,0,16000000000000000000000000,30,
83,0xec568fffba86c094cf06b22134b23074dfe2252c,Active,14959761,27,22,58877600224751282509170,429656183111018180388553,16000000000000000000000000,49,
84,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,15005807,36,0,355587630023259147940247,0,16000000000000000000000000,36,
85,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,15076044,98,2,341951361064826160345422,502100000000000000,16000000000000000000000000,527,
86,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,15095971,100,0,362190930814091966782566,0,16000000000000000000000000,114,
87,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,15130276,98,2,396231965612072072949694,832273047909142198,16000000000000000000000000,141,
88,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,15140137,100,0,433551785254240872282745,0,16000000000000000000000000,105,
89,0xec568fffba86c094cf06b22134b23074dfe2252c,Canceled,15175998,98,2,207508840958002503387153,4125780926724138561693,16000000000000000000000000,285,
9,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,12272619,16,0,425269700227676700311630,0,16000000000000000000000000,16,
90,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,15218841,98,2,402527148016961455083511,100542266381172925350,16000000000000000000000000,359,
91,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,15224040,100,0,441161694057539119856428,30596129385476730121,16000000000000000000000000,714,
92,0xec568fffba86c094cf06b22134b23074dfe2252c,Executed,15310833,79,2,375152064660696846502940,31127213990674663,16000000000000000000000000,81,
