0xbcff8b0b9419b9a88c44546519b1e909cf330399-0,10687054,0xbe286d574b1ea46f54955bd856821f84dfd20b2e,2,1,1
0xbcff8b0b9419b9a88c44546519b1e909cf330399-1,10808257,0x431e81e5dfb5a24541b5ff8762bdef3f32f96354,7,7,0
0xbcff8b0b9419b9a88c44546519b1e909cf330399-10,11061579,0x68d18c0b5d39eaed4ee7778b03e9fd76d6596b8f,22,22,0
0xbcff8b0b9419b9a88c44546519b1e909cf330399-11,11098003,0x8577b84527ced5d2d9f299dc6027a9e049c17d6c,11,11,0
0xbcff8b0b9419b9a88c44546519b1e909cf330399-12,11837535,0x70f994a316a76a18c1ed05e1f5a2756d933c3c7a,8,7,1
0xbcff8b0b9419b9a88c44546519b1e909cf330399-13,12333854,0x8a7915b7727b0d198719864bfbf9c8e4caf9b21e,31,31,0
0xbcff8b0b9419b9a88c44546519b1e909cf330399-14,12382843,0xd8ce0efcc3f2dd2ea0b1d7b9bd260a3987f7ad46,17,17,0
0xbcff8b0b9419b9a88c44546519b1e909cf330399-15,12703668,0xdedf3000d83bd3550d7d2080cc48a488c93a9442,11,11,0
0xbcff8b0b9419b9a88c44546519b1e909cf330399-16,12703789,0xb113d139d00a01270737279e0ccb28ef41884594,17,17,0
0xbcff8b0b9419b9a88c44546519b1e909cf330399-17,12744974,0xbabe61887f1de2713c6f97e567623453d3c79f67,19,19,0
0xbcff8b0b9419b9a88c44546519b1e909cf330399-18,12902605,0x71f718d3e4d1449d1502a6a7595eb84ebccb1683,0,0,0
0xbcff8b0b9419b9a88c44546519b1e909cf330399-19,12902840,0x5802ad5d5b1c63b3fc7de97b55e6db19e5d36462,7,7,0
0xbcff8b0b9419b9a88c44546519b1e909cf330399-2,10829456,0x432317153fb2d2dace8789c844bf2db48fcde257,32,28,4
0xbcff8b0b9419b9a88c44546519b1e909cf330399-20,13043867,0x8298d600479f54e5c622fe593223050d33abadab,23,23,0
0xbcff8b0b9419b9a88c44546519b1e909cf330399-21,13205006,0xdedf3000d83bd3550d7d2080cc48a488c93a9442,8,8,0
0xbcff8b0b9419b9a88c44546519b1e909cf330399-22,13222705,0x947b7742c403f20e5faccdac5e092c943e7d0277,12,12,0
0xbcff8b0b9419b9a88c44546519b1e909cf330399-23,13330469,0x947b7742c403f20e5faccdac5e092c943e7d0277,7,7,0
0xbcff8b0b9419b9a88c44546519b1e909cf330399-24,13658474,0xfddfe525054efaad204600d00ca86adb1cc2ea8a,14,14,0
0xbcff8b0b9419b9a88c44546519b1e909cf330399-25,13760910,0xfddfe525054efaad204600d00ca86adb1cc2ea8a,12,12,0
0xbcff8b0b9419b9a88c44546519b1e909cf330399-26,13761181,0xbabe61887f1de2713c6f97e567623453d3c79f67,8,8,0
