QmcwEVRfidkg5U8n3Z9CWgZfb63Fdy9Gy3BPX9z6xZL7nr,0x1C0Aa8cCD568d90d61659F060D1bFb1e6f855A20,closed,3361810.2412042143,197706.93725672548,3559517.178460951,1634683431
QmNT8bY7aJRFUMtfbFp9m7JHcUgEVCNZzWE67Crr9oAVrA,0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1,closed,12358627.302780304,4328467.722805527,16687095.02558583,1628800241
QmfEqngSUDtZHgQf5U9wEpkskwK38zWKbyEeWp3pfz2hPE,0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1,closed,14266737.701309118,59281.02303513961,14326018.724344257,1628800088
QmefFaAG2DoFKPdNegZpZHU6yTbXrWYxiwuKPkNQjFtGAC,0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1,closed,10300382.160948947,4586897.481081551,14887279.642030533,1628799874
QmaC15SjeAuAMbUnFp8GP5mk836K68nhsTXWFyWfjh1Rta,0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1,closed,14214335.217999551,1771.9266284094183,14221223.784852626,1628799537
QmXTSo2CoFqp8VNqb9Jy8zqgiiKZ9AAPnGwqA3sPaVkBzC,0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1,closed,14320715.589776186,1194.3433521932484,14321909.93312838,1628799290
QmWqj4HqaY5eFQAKJjTc1BJDXy4HQuTJcGf62qvyRpjFfq,0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1,closed,26933.610851656456,39936.61874941731,66870.22960107388,1620336122
QmU7jQsPbzCsBvapwZMGaHTjHb7CUqKz91KSz8iqYez4wv,0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1,closed,79912.78484270362,2.280105476948418,79915.06494818057,1620335840
QmPuCGmPXv1UFqQPk9UF6WhRssHv5qMGKj5HU3wDqbugua,0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1,closed,64605.83421433819,6818.97720144753,71532.6765636522,1620334390
QmSB39Li1wiNBQuCN2fJkndkoeBomVbp4qY84m56BpDX6Y,0x61Bf9c100F997f8218a01244C00Cd303AF95877f,closed,130717.59941454564,7328.88318303787,155550.30372921578,1619731497
QmYMmj3WsXUSg2fs3TMCkYoPHPMpJziyddLf144JjTXD1E,0xEBD819806B7c1B9631AD4Bb858960604B2B0D011,closed,4647.826275817895,0.02354869752918736,5265.024495894046,1618386400
QmT4yzmAFN3U5ZHHeZJcti18oa8b8hR3jJ41dn81DZ98D8,0x4472f355eB0e48675519a6D7eACe3596a8431694,closed,1688.730224613368,4655.959463930432,6344.689688543801,1618299436
QmfQb4nkcimGkTeQ5cLrdpymuYUW1SuAKec8VzMvQT6AS2,0xAbc6848bFEB8CfDA888eD0C5A3962e9FA7b556A6,closed,5712.681451485252,136.66934339108354,5849.350794876335,1617886176
QmbVauQU7ZvnscS23DMgzb91W2xvcHhAQ4y7Mmy3dG8nF1,0x9fC6CD1A8eBC2D40C43906B1e698a0460260eFEa,closed,53833.66747722707,15982.562601720803,69816.23007894786,1617428983
QmSDwPmm9VTi9dHmg63tMWx1j7MButsRWEenCYQcT8ADL6,0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1,closed,22916128.873697303,296491.56895710854,23229710.916318275,1617088141
QmUrmCsmi2dSZ8ytyDSSHnyUQAqYF33YDPeUbUaYuQReg8,0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1,closed,473861.48709514295,7306292.223401576,7796055.892919112,1617087132
QmdXP1DogPQm6J5PeEwofVJCL4a1vHd16CvC6CCT9nLDS4,0x285b7EEa81a5B66B62e7276a24c1e0F83F7409c1,closed,7769634.137217326,17154.331083545767,7794769.388677391,1617086100
QmaDuNa98xK1a2dG7hVZccQnRtK5v6jgN6WZbREY9pfQhA,0x9fC6CD1A8eBC2D40C43906B1e698a0460260eFEa,closed,31666.531163153715,161.15429077718204,31827.685453930844,1616940882
QmUaez8y5xRhTv2MeGKvhb7k939qkWmxgZ2R5fmgmVMEpf,0x45f45a83B71b0d1AC1B993797d88cc3C08985D66,closed,195.54717801205877,0,196.73393887373518,1616321580
QmVWm97oWPeJ4gyn8B5c9HN82j6f4C3nRcPh1h72cCCAjf,0x9ebe424B7bf85Ac8ba42b3f4C9c46DF6809A322A,closed,15331.85074700041,2555.118310152736,17886.969057153143,1616290710
QmVGtM2NoZ51Zdo4zWeBEPgVJNdU6Fn5pYR11NReK9zzo7,0x83B48a8698Ed024f35D0bf16c719acCF3202F953,closed,47832.74175916925,16821.973092929296,64728.96746717627,1616083913
QmXr8XYU9hTB7znvfcAhMvZiceYQcRPEjXZFXx8HbUAXpw,0x83B48a8698Ed024f35D0bf16c719acCF3202F953,closed,32515.41877459921,551.3716770030984,35892.71878214353,1616083793
QmP3S2wkv8rA3XSm9KD35Yjdt8yWvjQTsAUk4X8s73usgL,0x9437e277C8Ee0815943DaBf393179E0dBd9B0739,closed,4631.192624370151,153.37722823094222,4784.569852601093,1615990811
QmRf7QiUTuAcAKH7Vav4ZhUbPQNwBw6Yra2XhUXPmQwU8N,0xBa745f8B0e83ab6113f6E1d72957a2EF2B140f3C,closed,2197.051915370336,3230.094265568887,5501.121103882344,1615949731
