delegateKey,shares,loot,kicked,jailed,tokenTribute,didRagequit,memberAddress,exists,createdAt,isDao,isSafeMinion
"0xe704d4341c041ba19cd10254250b077483fa9676","7079","0","false","","800000000000000000000","false","0xe704d4341c041ba19cd10254250b077483fa9676","true","1600208562","",""
"0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","4971","0","false","","500500000000001000000","false","0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247","true","1584502825","",""
"0xc746a92f997333841adf686253eb77441d9868f4","4941","0","false","","800000000000000000000","true","0xc746a92f997333841adf686253eb77441d9868f4","true","1598403904","",""
"0xaf2f5a31bdbc95459dc80bc33937f95e178e4d3e","4938","0","false","","519000000000000000000","false","0x91715128a71c9c734cdc20e5edeeea02e72e428e","true","1593551374","",""
"0x7a15866affd2149189aa52eb8b40a8f9166441d9","4867","0","false","","550000000000000000000","false","0x7a15866affd2149189aa52eb8b40a8f9166441d9","true","1599260196","",""
"0x6c65fb326e7734ba5508b5d043718288b43b9ed9","4649","0","false","","3465000000000000000000","false","0xe2a82cdccbfa6ebf9817b0c4aed45264bd41fbec","true","1584546148","",""
"0xc22ac94fa7cd5c40a8490dfcfde91081416fc0b8","4646","0","false","","575250000000000000000","false","0xc22ac94fa7cd5c40a8490dfcfde91081416fc0b8","true","1601968501","",""
"0x06601571aa9d3e8f5f7cdd5b993192618964bab5","4000","0","false","","400000000000000000000","false","0x06601571aa9d3e8f5f7cdd5b993192618964bab5","true","1584524154","",""
"0x1dbef87da31986391e9d16ab9f1793ab0c9a6276","3860","0","false","","386000000000000000000","false","0x1dbef87da31986391e9d16ab9f1793ab0c9a6276","true","1587688188","",""
"0xc864c34b7313e55bc832b857d8de55ff0f0d0b28","3827","0","false","","400000000000000000000","false","0xc864c34b7313e55bc832b857d8de55ff0f0d0b28","true","1590437195","",""
"0x3c5829bfe6137a28455b575d0ed56e7b4707b56b","3687","0","false","","400000000000000000000","false","0x3c5829bfe6137a28455b575d0ed56e7b4707b56b","true","1599260465","",""
"0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88","3190","0","false","","693937800000000020010","true","0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88","true","1584516930","",""
